VS1 [V],VGS [V],VDS [V],ID [A]
0,0,11.98,1.1μ
0.2,239.8m,11.98,1.1μ
0.4,0.425,11.98,1.1μ
0.6,0.604,11.98,1.1μ
0.8,0.848,11.98,1.1μ
1,1.072,11.98,1.1μ
1.2,1.185,11.98,1.1μ
1.4,1.391,11.98,1.1μ
1.6,1.668,11.98,1.1μ
1.8,1.863,11.98,1.1μ
2,2.026,11.98,1.3μ
2.2,2.24,11.98,1.8μ
2.4,2.402,11.98,5.4μ
2.6,2.607,11.97,42.2μ
2.8,2.82,11.87,0.45m
3,2.983,11.39,2.94m
3.2,3.192,7.13,25.01m
3.4,3.429,56.6m,61.3m
3.6,3.612,23.6m,61.8m
3.8,3.78,14.7m,61.9m
4,4.04,10m,62m
4.2,4.21,8.5m,62m
4.4,4.45,7.2m,62m
4.6,4.61,6.7m,62m
4.8,4.8,6.2m,62m
5,5,5.8m,62m
